Species	Tissue	Cell type	Cell marker	Marker grade
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G09270	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G09500	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G09630	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G09735	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G10090	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G10410	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G10690	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G10860	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G11120	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G11500	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G11510	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G11830	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G11940	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G12120	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G12587	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G12760	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G12965	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G13882	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G14290	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G14600	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G15000	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G15630	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G16080	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G17160	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G18190	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G18740	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G19130	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G19180	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G19660	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G20050	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G20630	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G22230	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G22480	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G23280	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G23390	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G23830	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G23890	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G23990	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G24830	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G25150	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G25520	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G27280	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G27570	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G28500	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G28900	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G43720	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G43980	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G44010	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G44750	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G45030	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G45930	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G45980	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G46030	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G46040	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G46080	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G46320	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G46430	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G46560	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G47370	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G47550	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G47730	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G47836	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G47850	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G48680	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G48750	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G48930	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G49010	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G50670	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G50900	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G51270	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G52090	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G52300	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G52580	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G52590	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G52730	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G52748	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G52930	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G53020	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G53430	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G53630	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G53730	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G53740	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G53890	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G54000	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G54085	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G54560	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G55430	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G55560	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G55750	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G56020	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G56340	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G57000	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G57150	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G57290	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G57320	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G57870	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G57930	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G59540	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G59820	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G60245	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G60300	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G60520	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G60770	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G60820	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G61110	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G62250	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G62290	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G62790	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G62840	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G62870	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT3G63010	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G00100	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G00810	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G00860	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G01850	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G02230	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G02450	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G02840	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G09800	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G13520	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G13850	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G13940	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G14110	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G14320	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G14960	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G15000	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G15630	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G15802	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G15910	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G16450	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G16720	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G17040	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G17390	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G18100	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G18730	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G21105	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G21660	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G21750	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G22140	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G22190	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G23800	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G23850	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G24150	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G24190	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G24820	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G24920	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G26230	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G26840	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G27090	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G27130	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G29030	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G29390	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G29410	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G29490	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G29735	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G30220	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G31700	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G31820	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G31985	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G32470	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G33250	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G33865	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G34200	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G34265	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G34670	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G34700	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G35000	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G35570	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G36130	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G36500	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G37250	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G37610	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G37830	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G38130	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G38430	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G38470	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G38680	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G38800	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G38920	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G39200	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G39220	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G39260	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G39670	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G39830	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT4G40040	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G01350	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G01650	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G01750	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G01820	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G02450	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G02610	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G02870	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G02960	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G03660	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G03740	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G03850	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G05370	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G07090	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G07960	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G08040	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G08290	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G08670	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G08690	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G09225	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G09510	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G10360	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G10695	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G10830	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G10980	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G11170	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G13190	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G13520	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G13780	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G14030	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G14410	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G14610	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G15090	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G15200	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G15320	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G16050	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G16060	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G16070	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G16130	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G16260	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G17000	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G18400	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G18620	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G18900	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G19510	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G19760	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G19770	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G20150	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G20290	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G20570	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G20620	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G20890	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G21150	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G22270	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G22370	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G22440	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G22500	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G22650	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G22880	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G23140	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G23290	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G23570	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G23740	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G23900	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G24280	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G25580	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G25754	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G25757	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G26800	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G27700	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G27770	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G27850	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G28060	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G35530	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G35590	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G37780	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G38830	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G39740	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G41010	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G41520	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G41810	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G41950	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G42790	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G44340	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G45620	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G45775	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G46350	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G46430	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G47030	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G47210	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G47220	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G47570	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G47590	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G47600	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G47700	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G47890	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G47930	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G48480	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G48650	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G48870	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G50810	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G50870	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G52650	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G53300	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G53650	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G55160	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G55190	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G56670	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G56680	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G56710	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G56740	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G56940	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G57010	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G57110	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G57290	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G58110	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G58420	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G58440	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G58710	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G59140	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G59613	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G59690	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G59820	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G59870	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G59890	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G59910	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G59970	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G60390	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G60670	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G61120	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G61170	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G61790	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G62190	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G62230	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G62300	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G62690	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G62700	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G64140	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G64350	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G64910	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G65020	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G65140	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G65207	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G65260	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G65360	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G65670	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G67320	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	AT5G67510	Marker #2
Arabidopsis thaliana	Ovule primordia	Female germline cell	ATCG01130	Marker #2
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G01360	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G01470	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G01490	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G01620	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G01720	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G02065	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G02400	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G04120	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G04400	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G05010	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G05100	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G05135	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G05575	Marker #1
Arabidopsis thaliana	Ovule primordia	Other ovule primordia cell	AT1G05680	Marker #1
