Species	Tissue	Cell type	Cell marker	Marker grade
Arabidopsis thaliana	Root	Atrichoblast	AT1G44608	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G44830	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G45015	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G47480	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G48330	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G49030	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G49240	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G49310	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G51260	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G51790	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G51800	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G51850	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G52910	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G53180	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G53430	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G53560	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G53625	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G53700	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G54450	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G54890	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G55450	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G55920	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G56330	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G57990	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G58410	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G59590	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G59870	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G61100	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G61667	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G61740	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G62800	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G63220	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G64060	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G64330	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G64380	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G64390	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G64640	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G64950	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G65010	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G65310	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G65730	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G65840	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G65845	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G65985	Marker #2
Arabidopsis thaliana	Root	Atrichoblast	AT1G66200	Marker #2
